SID,DID,ID,birth wt ,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
1210039,2209018,3212011,2.839488236,2012,A,L,2017,5.5,1.3412,71.894332
1210039,2209018,3212012,2.440326951,2012,A,S,2017,5.5,1.7936,79.3786
1209020,2210086,3212018,3.646882655,2012,A,L,2017,5.5,1.4977,80.739376
1209020,2207013,3212020,2.648979441,2012,A,S,2017,5.5,1.8054,87.996848
1210097,2207005,3212040,2.240746308,2012,A,L,2017,5.5,1.6849,77.564232
1210097,2209047,3212043,3.456373859,2012,A,L,2017,5.5,0.9595,83.007336
1209029,2208036,3212048,2.186315223,2012,A,S,2017,5.5,2.2405,81.419764
1210045,2207029,3212053,1.678291769,2012,A,S,2017,5.5,1.4923,89.357624
1210097,2209016,3212058,2.821344541,2012,A,L,2017,5.5,1.2497,75.296272
1209029,2210010,3212069,2.131884139,2012,A,S,2017,5.5,1.3397,67.585208
1210039,2210067,3212082,2.313321087,2012,A,S,2017,5.5,0.9216,83.460928
1210045,2209026,3212088,2.331464782,2012,A,S,2017,5.5,1.3134,94.800728
1210015,2208035,3214010,3.057212574,2014,C,S,2019,5.5,1.4208,103.418976
1210089,2209024,3214013,2.785057152,2014,C,L,2019,5.5,1.2422,88.45044
1210069,2211065,3214017,3.093499963,2014,C,S,2019,5.5,1.1242,95.25432
1210060,2210104,3214029,2.875775626,2014,C,S,2019,5.5,1.4466,84.594908
1210060,2211038,3214030,2.195387071,2014,C,L,2019,5.5,1.0541,83.234132
1210045,2210057,3214031,2.050237512,2014,C,L,2019,5.5,0.9072,76.883844
1210089,2209026,3214036,2.159099681,2014,C,L,2019,5.5,1.0623,66.678024
1210069,2211009,3214052,1.678291769,2014,C,L,2019,5.5,1.2242,79.605396
1210069,2208011,3214060,2.385895866,2014,C,L,2019,5.5,0.7923,81.419764
1210069,2211002,3214067,2.404039561,2014,C,S,2019,5.5,0.9173,91.625584
1210069,2210064,3214069,2.558260967,2014,C,L,2019,5.5,1.3405,78.698212
1210060,2211102,3214075,2.630835746,2014,C,L,2019,5.5,1.6647,84.821704
1210069,2211047,3214077,2.367752171,2014,C,S,2019,5.5,1.1125,68.0388
1210069,2211094,3214084,2.422183256,2014,C,L,2019,5.5,1.3123,90.264808
1210015,2211067,3214093,3.356583538,2014,C,S,2019,5.5,1.3986,106.59412
1210015,2211067,3214094,3.565236028,2014,C,L,2019,5.5,0.6571,82.553744
1210069,2211011,3214097,2.712482373,2014,C,L,2019,5.5,1.3637,86.409276
1210015,2211018,3214100,3.120715506,2014,C,L,2019,5.5,1.3261,92.079176
1210045,2210108,3214109,2.975565947,2014,C,S,2019,5.5,1.6492,90.038012
1210045,2210066,3214112,2.857631931,2014,C,L,2019,5.5,1.7832,70.760352
1210089,2211029,3214116,1.85065687,2014,C,L,2019,5.5,0.4754,40.0975328
1210015,2209015,3214127,2.331464782,2014,C,L,2019,5.5,1.2775,81.192968
1210045,2210082,3214130,2.694338678,2014,C,L,2019,5.5,1.5487,89.130828
1210060,2211063,3214139,2.803200847,2014,C,S,2019,5.5,0.793,82.78054
1210045,2210074,3214141,3.084428116,2014,C,S,2019,5.5,1.7551,90.264808
1210045,2210074,3214142,3.456373859,2014,C,L,2019,5.5,1.2907,88.904032
1210089,2211008,3214150,3.447302012,2014,C,L,2019,5.5,1.0534,64.63686
1210060,2210094,3214153,3.011853337,2014,C,L,2019,5.5,0.8037,76.430252
